Company Name,Company Rating,Job Title,Location,Description,Salary Range,Median Salary
Sagility,3.9,Data Scientist,Bengaluru,"About Sagility
Sagility combines industry-leading technology and transformation-driven BPM services with decades of healthcare domain expertise to help clients draw closer to their members. The company optimizes the entire member/patient experience through service offerings for clinical, case management, member engagement, provider solutions, payment integrity, claims cost containment, and analytics. Sagility has more than 25,000 employees across 5 countries.
To conduct data science projects, develop models, and contribute to decision-making processes.
Data Scientists work on implementing advanced solutions and ensuring the accuracy and reliability of data science models.
Job title:
Data Scientist
BangaloreIndia",₹3L – ₹8L/yr (Glassdoor Est.),₹4L/yr Median
Capgemini Engineering,3.5,Data Scientist || 4- 7 Years || Bangalore,Bengaluru,"At Capgemini Engineering, the world leader in engineering services, we bring together a global team of engineers, scientists, and architects to help the world’s most innovative companies unleash their potential. From autonomous cars to life-saving robots, our digital and software technology experts think outside the box as they provide unique R&D and engineering services across all industries. Join us for a career full of opportunities. Where you can make a difference. Where no two days are the same.
Job Description
Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.
1. Applies scientific methods to analyse and solve software engineering problems.
2. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.",₹4L – ₹10L/yr (Glassdoor Est.),₹6L/yr Median
Caterpillar,4.0,Data Scientist,Bengaluru,"Career Area:
Technology, Digital and Data
Job Description:
Your Work Shapes the World at Caterpillar Inc.
When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it.
A Data Scientist is responsible for supporting freight analytics/forecasting for process partners by leveraging suitable software. This position is in Bangalore and reports to the Analytics Manager responsible for this area. A person in this role is expected to support 1-2 projects at a time and guide the other team members in work related queries.










July 18, 2025 - July 24, 2025",₹4L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
Lightrains Technolabs,N/A,Data Scientist (ML & AI),Thiruvananthapuram,"Engineering
Data Scientist (ML & AI)
Thu Jul 13 2023
We are looking for a dedicated Data Scientist who can transform business challenges into data-driven machine learning solutions. This role requires a professional who can seamlessly integrate with our product teams, offering insights from complex data sources and driving the direction of our products through data-based recommendations. As a Subject Matter Expert in data science, you will play a pivotal role in shaping our analytics approach and ensuring that our decisions are backed by solid data analysis.
Requirements
Problem Solving: Convert complex business problems into data-driven machine learning solutions.",₹4L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
Radioso Resources,N/A,"Data / ML Scientist (Clustering, Trends & Root-Cause)",Remote,"Qualifications
● 4 + years in data science or machine-learning roles (NLP or time-series a plus).
● Hands-on with clustering, anomaly detection, and causal-inference techniques.
● Strong Python (pandas, scikit-learn, PyTorch/TensorFlow) and solid SQL.
● Experience turning notebooks into production jobs via Airflow, Flyte, or similar.
● Comfortable with vector databases and similarity search (Faiss, PGVector, etc.).
● You think in experiments, communicate results clearly, and love shipping incrementally.
Key Responsibilities
● Pattern Discovery – Build unsupervised / semi-supervised models (HDBSCAN, metric
learning, spectral, etc.) that group similar issues and surface them for human review.
● Trend Detection & Forecasting – Design change-point and anomaly detectors, then",₹20L/yr (Employer provided),N/A
Boston Consulting Group,4.2,"AI Engineer / Senior AI Engineer, India - BCG X",Gurgaon,"Locations: Mumbai | Gurgaon

Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

We Are BCG X

We’re a diverse team of more than 3,000 tech experts united by a drive to make a difference. Working across industries and disciplines, we combine our experience and expertise to tackle the biggest challenges faced by society today. We go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. Leveraging BCG’s global network and partnerships with leading organizations, BCG X provides a stable ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

What You'll Do

Build AI/ML technology stacks from concept to production, including data pipelines, model training, and deployment.
Develop and optimize Generative AI workflows, including prompt engineering, fine-tuning (LoRA, QLoRA), retrieval-augmented generation (RAG), and LLM-based applications.
Work with Large Language Models (LLMs) such as Llama, Mistral, and GPT, ensuring efficient adaptation for various use cases.
Design and implement AI-driven automation using agentic AI systems and orchestration frameworks like Autogen, LangGraph, and CrewAI.
Leverage cloud AI infrastructure (AWS, Azure, GCP) for scalable deployment and performance tuning.
Collaborate with cross-functional teams to deliver AI-driven solutions.

What You'll Bring

Bachelor’s, Master’s, or PhD in Computer Science, Data Science, Mathematics, Statistics, Engineering or a related field.
2+ years of experience in AI/ML, with expertise in Generative AI and LLMs.
Strong proficiency in Python and experience with AI/ML frameworks like PyTorch and TensorFlow.
Knowledge of advanced prompt engineering techniques (Chain of Thought, Few-Shot, Self-Consistency).
Experience in AI workflow automation and model orchestration.
Hands-on experience with API development using Flask or Django.
Familiarity with data processing frameworks like Databricks and Airflow.
Strong analytical skills and the ability to work in a collaborative environment

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",N/A,N/A
Rolling Arrays,4.3,Data Scientist,India,"(Location: India/Remote)
We are seeking an experienced Data Scientist with experience in data analytics, machine learning, and statistical modeling. The ideal candidate will be proficient in data manipulation, data analysis, and have the ability to design, build, and deploy predictive models. You will work with a diverse range of stakeholders to support both operational and strategic objectives across different business domains.

Key Responsibilities

Data Analysis & Modeling
Analyze large and complex datasets to identify trends, patterns, and actionable insights.",N/A,N/A
EY,3.7,Data Management - Data Scientist,Bengaluru,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

Data Management - Data Scientist
At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

EY is a global leader in assurance, tax, transaction and advisory services. Technology is at the heart of what we do and deliver at EY. Technology solutions are integrated in the client services we deliver and are key to our innovation as an organization. Fuelled by a US$1.5+B investment in technology and innovation, EY is primed to guide clients in their efforts to drive sustainable growth, create new value, and build new and better ways of working. As part of Enterprise Technology, you’ll be at the forefront of integrating technology into what we do at EY. That means more growth for you, exciting learning opportunities, career choices and the chance to make a real impact.",₹7L – ₹10L/yr (Glassdoor Est.),₹8L/yr Median
TVS Motor Company,3.6,Principal Data Scientist,Chennai,"Tamil Nadu, Chennai, Tamil Nadu, India

Department
D&AI-EHRL & SST support
Job posted on
Jul 20, 2025
Employment type
White Collar

Job Title: Principal Data Scientist",₹6L – ₹9L/yr (Glassdoor Est.),₹7L/yr Median
BDIPlus,3.4,Data Scientist,India,"Data Scientist
About Us:
BDIPlus, a US-based leading transformation Consulting & Customer Data Platform (CDP) company, is dedicated to delivering cutting-edge capabilities and solutions that foster the development of enduring competitive advantages. Our innovative solutions showcase our unparalleled proficiency in technology and our profound domain expertise within the Financial Services and Insurance sectors. By synergizing our unmatched technical skills with a comprehensive grasp of each client’s institutional landscape and distinctive areas for improvement, we empower them to convert data into actionable and well-organized information. This facilitates precise decision making, increased efficiency, and rampant business growth.
Job Overview:
We're looking for a highly skilled Data Scientist to join our innovative team. You'll play a crucial role in leveraging data to drive business decisions, develop cutting-edge solutions, and build robust, end-to-end data science pipelines. If you have strong data science fundamentals, a passion for new technology, and can turn complex data into actionable insights, we would love to hear from you.",₹6L – ₹12L/yr (Employer provided),₹9L/yr Median
PayPal,3.7,Sr Data Scientist,Bengaluru,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.

We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.",₹2L – ₹4L/yr (Glassdoor Est.),₹3L/yr Median
Amlgo Labs,5.0,Data Scientist GenAI,Gurgaon,"AI/ML
NLP
LLM
SLMs
GenAI
python
SQL

We are looking for a Generative AI Specialist to join our Data Science team to work on AI-first Risk and Fraud solutions for the Fintech sector. The ideal candidate will be skilled at developing and implementing generative AI models (LLMs/SLMs) to automate Risk/Fraud processes and workflows.",₹7L – ₹9L/yr (Glassdoor Est.),₹8L/yr Median
5x Data,4.8,Senior Data Scientist,Remote,"At 5X, we help companies organize their data and make it actionable. Founded by engineers who built data platforms at hypergrowth companies, we saw first-hand the complexity and fragmentation plaguing modern data stacks. That’s why we created 5X — an end-to-end data and AI platform that unifies data tooling, streamlines operations, and empowers teams to build with data without drowning in integrations and vendor sprawl.
Responsibilities
Understand and analyse client's business requirements to design and implement effective data solutions.
Create and optimize data models to support client reporting and analytics needs.
Proactively communicate with clients to provide project updates and address any issues or concerns.
Comfortable to travel to meet customers in the US and go deeper on projects",N/A,N/A
Houlihan Lokey,4.0,Data Science Intern,Mumbai,"Business Unit:
Financial and Valuation Advisory
Industry:
Portfolio Valuation
Houlihan Lokey (NYSE:HLI) is a global investment bank with expertise in valuation, mergers and acquisitions, capital markets, financial restructuring, and strategic consulting. The firm serves corporations, institutions, and governments worldwide with offices in the United States, Europe, the Middle East, and the Asia-Pacific region. Independent advice and intellectual rigor are hallmarks of the firm’s commitment to client success across its advisory services. Houlihan Lokey is ranked as the No. 1 global M&A fairness opinion advisor over the past 20 years according to Refinitiv.
Data Science Intern

#LI-118254",N/A,N/A
Microsoft,4.1,Data Scientist II,Hyderābād,"Security represents the most critical priorities for our customers in a world awash in digital threats, regulatory scrutiny, and estate complexity. Microsoft Security aspires to make the world a safer place for all. We want to reshape security and empower every user, customer, and developer with a security cloud that protects them with end to end, simplified solutions. The Microsoft Security organization accelerates Microsoft’s mission and bold ambitions to ensure that our company and industry is securing digital technology platforms, devices, and clouds in our customers’ heterogeneous environments, as well as ensuring the security of our own internal estate. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world.

The Defender Experts (DEX) Research team is at the forefront of Microsoft’s threat protection strategy, combining world-class hunting expertise with AI-driven analytics to protect customers from advanced cyberattacks. Our mission is to move protection left—disrupting threats early, before damage occurs—by transforming raw signals into intelligence that powers detection, disruption, and customer trust. We’re looking for a passionate and curious Data Scientist to join this high-impact team. In this role, you'll partner with researchers, hunters, and detection engineers to explore attacker behavior, operationalize entity graphs, and develop statistical and ML-driven models that enhance DEX’s detection efficacy. Your work will directly feed into real-time protections used by thousands of enterprises and shape the future of Microsoft Security. This is an opportunity to work on problems that matter—with cutting-edge data, a highly collaborative team, and the scale of Microsoft behind you. Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond. Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.



Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",₹3L – ₹10L/yr (Glassdoor Est.),₹6L/yr Median
Tesco India,3.8,Data Scientist,Bengaluru,"About the role

Job Description At Tesco; our Data Science team focuses on modelling complex business problems and deploying data products at scale. Our work spans across multiple areas including physical stores; online; supply chain; marketing and Clubcard; where we encourage rotation amongst our Data Scientists so they can gain expertise in different subjects. We work on several domains and problem types: online; pricing; security; fulfilment; distribution; property; IoT and computer vision are just some. Our team members spend 10% of their week on learning and personal development. Multiple academic collaborations enrich the team expertise; knowledge sharing events are regular. Furthermore; we have a great work-life balance; team days and relaxed but engaging culture. ROLE DESCRIPTION This is a hands-on position where you will need to leverage your analytical mindset to find solutions to complex problems. As a Data Scientist; you will need to understand difficult business problems and prototype solutions with minimal support. Apply; modify and design algorithms and mathematical models to solve business problems on top of big data architectures (Hadoop; Spark) is a core component of the role. Our data scientists will need to be able to validate; document and present the modeling process and performances; as well as communicate complex solutions in a clear; understandable way to non-experts. Data Scientists are also responsible for promoting data science across Tesco and promote Tesco across the external Data Science community. CANDIDATE DESCRIPTION We are looking for ambitious individuals with a mix of statistics; programming; and machine learning skills. The role requires that you have an extensive background in machine learning and data mining. A track record in modifying and designing advanced algorithms and applying them to large data sets is essential. An ideal candidate will have a scientific mentality with the ability to ask the right questions; as well as answer them. A strong numerical higher degree in a mathematical; scientific; engineering or computer science discipline is preferable; as well as a solid understanding of mathematics and statistical principles. Experience in one or more of the following fields is required: predictive modelling; operational research; deep learning; and time series modelling. Finally; strong programming experience (Python is preferred).",₹4L – ₹10L/yr (Glassdoor Est.),₹6L/yr Median
Pattern Effects Labs,3.4,Data Scientist,Bengaluru,"WHAT WE DO
At PE we are building applications where financial decisions are data driven, adaptive and domain focused. We Use AI/ML to uncover hidden patterns from big data from across industries, enabling business and better quality of life.
Uncovering the hidden
AI is used to find pattern and correlation which hide deep within Big Data.

Ever Adapting
Our AI system is designed to pick the best response from millions of possible options in a given scenario. These scenarios can be as diverse as capital markets to healthcare.
Accuracy",N/A,N/A
InnoWave India,3.7,Data Scientist - Immediate Joiners preferred,Bengaluru,"InnoWave is looking for a talented and analytical Data Scientist with 2–3 years of experience to join our dynamic team. The ideal candidate will have a strong foundation in data analysis, machine learning, and statistical modeling, and will be passionate about transforming data into actionable insights to support decision-making across projects.

Responsibilities
Analyze large and complex datasets to identify trends, patterns, and actionable insights
Design, develop, and implement machine learning models to solve business problems
Collaborate with cross-functional teams to understand business objectives and data needs
Present analytical findings and model results clearly to both technical and non-technical stakeholders
Create data visualizations and dashboards to communicate insights effectively
Develop and maintain robust data pipelines and data wrangling scripts
Monitor model performance and continuously improve algorithms
Stay updated with the latest advancements in data science and machine learning

Required Skills & Qualifications
Bachelor’s or Master’s degree in Computer Science, Statistics, Mathematics, Data Science, or a related field
2–3 years of hands-on experience in a data science or analytics role
Strong proficiency in Python or R for data analysis and modeling
Experience with machine learning libraries such as Scikit-learn, TensorFlow, or PyTorch
Solid understanding of statistical techniques and their real-world applications
Experience with SQL and working with relational databases
Familiarity with data visualization tools such as Power BI, Tableau, or matplotlib/seaborn
Excellent problem-solving skills and attention to detail
Strong communication and collaboration skills",₹5L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
Maruti Suzuki India Ltd,3.8,Data Scientist,Delhi,"JOB PURPOSE

Build & Deploy Machine learning models to drive customer retention/satisfaction/Lifetime value

Work closely with business to identify issues and use data to propose solutions for effective decision making

Use analytical, statistical, and programming skills to collect large data sets and develop data-driven solutions

Interpret raw data and extract valuable meaning out of it then use this information to find patterns and develop solutions that organization needs to grow and compete

PRINCIPAL ACCOUNTABILITIES

Create various Machine learning based tools or processes such as recommendation engine /lead scoring systems

Using machine learning tools to select features, create and optimize classifiers

Discover information in the huge database and help organization make smarter data drive decision to deliver better customer experience & products

Undertaking data collection, preprocessing, and analysis (EDA)

Build models to address business problems

Present information using data visualization techniques

Identify valuable data sources and automate collection processes

Collaborate with multiple marketing and product planning teams

Data preparation, make sense of data from multiple data sources, be compliant to data security norms

Understanding the business problem

Effective communication with Non-Technical stakeholders

Possess exceptional knowledge of the business domain along with expertise in technology, math and statistics

Look at big data with a view to solve a business problem

Ability to create and gain buy-in for novel ideas with the main motive to produce a working model that can help business make effective data driven decisions

Create stories from number crunching

Be the data storyteller to gain business confidence

SKILLS AND KNOWLEDGE


Graduate/Post graduate with understanding of basic data science (Knowledge of SQL ,HIVE, Python, R or SAS - Any 2), knowledge of basic auto industry and sales and marketing operations

b) Work Experience 2- 5 Years

Please note that the Educational qualification should be from AICTE/UGC approved colleges only.",N/A,N/A
McKinsey & Company,4.0,Senior Data Scientist - Periscope,Bengaluru,"Do you want to work on complex and pressing challenges—the kind that bring together curious, ambitious, and determined leaders who strive to become better every day? If this sounds like you, you’ve come to the right place.
Your Impact
You will be responsible for developing deep Retail domain understanding in at least one of the following areas –Customer Analytics, Pricing Optimization, Inventory Management, E-commerce, or Digital Transformation.
Collaboration with business stakeholders, engineers and internal teams to build and implement extraordinary retail focused data products (reusable asset) and solutions and delivering them right to the client will be of utmost importance.
You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact and guide global companies through data science solutions to transform their businesses and enhance performance across industries including E-commerce, Grocery, F&B and CPG.",₹7L – ₹9L/yr (Glassdoor Est.),₹8L/yr Median
Data Collection Infotech,3.6,Data Scientist,Bengaluru,"Roles and Responsibilities
Well-versed in quantitative analysis, research, data mining, trend analysis, customer profiling, clustering, segmentation and predictive modelling.
Executing the data-driven planning process by building models and frameworks that connect
business unit drivers to company financials and forecast to take the correct decision as per the business need.
Design and build dashboards and other visualizations in BI tools.
Should be able to handle assigned tasks in the capacity of individual contributor.
Demonstrate excellent teamwork.
Collaborate with other data analysts to provide development coverage, support",₹3L – ₹4L/yr (Glassdoor Est.),₹3L/yr Median
ESJ Asthra Edutech Pvt Ltd,N/A,Data Scientist,Coimbatore,"Job Title: Data Scientist
Job Type: Full-Time
Job Summary
We are looking for a skilled Data Scientist to join our team. You will be responsible for analyzing large volumes of data, creating predictive models, and delivering actionable insights that drive business decisions and improve our learning systems.
Key Responsibilities
Collect, clean, and preprocess data from multiple sources.
Build and evaluate predictive models and machine learning algorithms.
Analyze data trends and patterns to provide business insights.
Collaborate with cross-functional teams including product, marketing, and tech.
Design experiments and interpret their results using statistical techniques.
Communicate findings through visualizations and reports.
Stay up-to-date with the latest developments in data science and AI.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Statistics, Mathematics, or a related field.
Strong programming skills in Python or R.
Proficient in SQL and working with large datasets.
Experience with machine learning libraries (e.g., scikit-learn, TensorFlow, PyTorch).
Knowledge of data visualization tools (e.g., Power BI, Tableau, matplotlib, seaborn).
Excellent problem-solving and analytical skills.
Strong communication skills to explain complex data in a simple way.
Job Types: Full-time, Fresher
Education:
Bachelor's (Required)
Work Location: In person",N/A,N/A
Amlgo Labs,5.0,Data Scientist,Bengaluru,"Python
AI
Machine Learning
NLP
LLM
Deep Learning
SQL Server
AWS

We are seeking a talented and motivated Data Scientist with over 2 years of hands-on experience to join our growing team. This is a remote-only position for candidates based in Bangalore, offering flexibility and the opportunity to work with cutting-edge data technologies. The ideal candidate is passionate about leveraging machine learning, natural language processing, and advanced analytics to deliver impactful data-driven solutions.",₹7L – ₹9L/yr (Glassdoor Est.),₹8L/yr Median
Agnik,4.6,Data Scientist,India,"Position: Data Scientist (Intern)
Status: Open
AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation. Candidates must have:
1) Familiarity with Machine Learning, Data Mining, Statistics, and Signal Processing
2) Some Experience in Programming in C++/Java/Distributed Programming
3) Pursuing a Degree in Electrical Engineering, Math, Physics, Statistics
Positions do not require US citizenship but the candidates should be authorized to work in the United States. If you are interested, please send resume to jobs@agnik.com with ""Application for Data Science Intern"" in the Subject line.",N/A,N/A
E2E Infoware Management Services,4.9,Data Scientist,Chennai,"Data Scientist / Advanced Analytics – Machine Learning, Python, Predictive Analysis, Statistical Learning, Artificial Intelligence, Deep Learning, CNN, RNN and R Programming.
Location : Bangalore,Chennai.",₹2L – ₹8L/yr (Glassdoor Est.),₹4L/yr Median
G2,4.0,Data Scientist - I,Bengaluru,"Location
Bengaluru
Employment Type
Full time
Location Type
On-site
Department
Product R&D

About G2 - The Company
When you join G2, you’re joining the team that helps businesses reach their peak potential by powering decisions and strategies with trusted insights from real software users.",N/A,N/A
Infosys Limited,3.6,Data Scientist,Bengaluru,"Job Description:

Computer Vision modeler who will develop real time computer vision models like
Python Pytorch tensorflow
CV ML model development
Object recognition Detection
NVIDIA technologies
MLOps

Key Responsibilities:


Technology->Machine Learning->Python,Technology->Artificial Intelligence->Computer Vision",₹5L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
Visa,3.8,Data Scientist (BI Engineer),Bengaluru,"Company Description

Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.
Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.

Job Description",₹3L/yr (Glassdoor Est.),N/A
Jabit Soft,N/A,Sr. Data Scientist,India,"We are hiring a Senior Data Scientist with strong experience in reporting, data validation, and analysis. The candidate will be responsible for ensuring data accuracy, preparing automated reports, identifying anomalies, and supporting business teams with actionable insights.
Key Responsibilities:
Design and maintain automated reports and dashboards using tools like Power BI, Tableau, or Excel.
Perform data quality checks, validations, and reconciliations across multiple sources (SQL, APIs, Excel, etc.).
Identify inconsistencies and work with cross-functional teams to resolve data issues.
Develop scripts in Python / SQL to automate data extraction, transformation, and loading (ETL).
Monitor and audit data pipelines to ensure completeness and correctness of reports.",₹15L – ₹20L/yr (Employer provided),₹18L/yr Median
Pricelabs,4.7,Data Scientist (Remote),Pune,"Preferable Location(s): Pune, India | Bengaluru, India | Delhi, India | Chennai, India | Mumbai, India | Noida, India | Gurugram, India | Hyderabad, India | Coimbatore, India
Work Type: Full Time

About the Role: Design, develop and enhance our pricing algorithms to enable new capabilities. Process, analyse, model, and visualise findings from our market-level supply and demand data. Build and enhance internal and customer-facing dashboards to better track metrics and trends that help customers use PriceLabs in a better way. Take ownership of product ideas and design discussions. Occasional travel to conferences to interact with prospective users and partners, and learn where the industry is headed. About You: You have a minimum of two (2) years of relevant experience. Strong understanding of analysis of algorithms, data structures and statistics. Solid programming experience. Including being able to quickly prototype an idea and test it out. Strong communication skills, including the ability and willingness to explain complicated algorithms and concepts in simple terms. Experience with relational databases and strong knowledge of SQL. Prior experience working in a fast-paced environment. Willingness to wear many hats. Good to have: Experience in the vacation rental industry. Experience developing dynamic pricing models. How to apply for this position? Please fill out the form with the required details. If your profile is shortlisted, our team will reach out to you via email. If you don't find the emails in your inbox, please check your spam folder. Tip: Avoid using AI-generated responses. We want to hear from you! About PriceLabs: PriceLabs is a revenue management solution for the short-term rental and hospitality industry, founded in 2014 and headquartered in Chicago, IL. Our platform helps individual hosts and hospitality professionals optimize their pricing and revenue management, adapting to changing market trends and occupancy levels. With dynamic pricing, automation rules, and customizations, we manage pricing and minimum-stay restrictions for any portfolio size, with prices automatically uploaded to preferred channels. Every day, we price over 500,000+ listings globally across 150+ countries, offering world-class tools like the Base Price Help and Minimum Stay Recommendation Engine. In 2025, we scaled to; 500K+ properties syncing daily 60K+ customers worldwide 270+ globally remote team 36% diversity Industry awards won: SaasBoomi 2021 The Shortyz 2020 The Shortyz 2023 STRive Awards 2025 We continue to grow exponentially backed by a strong team to take us to the next level. Why join PriceLabs? We are a remote-first organization and accept work from home as the norm. Work with an industry-leading product that has thousands of customers worldwide, and our customers love the product! (NPS in the 70s, ) Work with a global team (18 countries and counting) of passionate individuals that accept open communication, empowerment, and a shared focus on customer success. We are a freemium product, so marketing leads the charge on customer acquisition. PriceLabs is an equal-opportunity employer. We are committed to providing equal opportunity in all aspects of employment. We do not discriminate based on race, colour, religious creed, national origin, ancestry, sex, age, veteran status, marital status or physical challenges.",N/A,N/A
Rockwell Automation,3.7,Associate Data Scientist - AzureML/SageMaker,Bengaluru,"Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers - amazing companies that help feed the world, provide life-saving medicine on a global scale, and focus on clean water and green mobility - our people are energized problem solvers that take pride in how the work we do changes the world for the better.
We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us!
Job Description
Summary:
Collaborate with engineers, product managers, and operations leaders to build predictive maintenance models, improve manufacturing throughput, and drive cost savings.",₹3L – ₹8L/yr (Glassdoor Est.),₹5L/yr Median
Amazon.com,3.6,"Data Scientist, Amazon Payments (Level 5), Amazon",Bengaluru,"DESCRIPTION
Amazon Payment team creates and manages a global portfolio of products, including co-branded credit cards, installment financing, third party redemptions, and financial services marketplaces. Within this team we are looking for a Data Scientist specifically for supporting Japan Payment Products.
Within this team, we are looking for a Data Scientist who will be responsible for performing analysis on large volumes of data which includes predictive modeling, synthesizing the analysis into business insights and communicating the findings to various stakeholders. As a Data Scientist, you will be responsible for modeling complex problems and building algorithms that identify opportunities through statistical models, machine learning, and visualization techniques. To be eligible, the candidate must possess superior written and verbal communication skills too, in addition to proven analytical skills.

Key job responsibilities",₹5L – ₹10L/yr (Glassdoor Est.),₹7L/yr Median
Rockwell Automation,3.7,Data Scientist- AzureML/SageMaker,Bengaluru,"Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers - amazing companies that help feed the world, provide life-saving medicine on a global scale, and focus on clean water and green mobility - our people are energized problem solvers that take pride in how the work we do changes the world for the better.
We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us!
Job Description
Summary:
Collaborate with engineers, product managers, and operations leaders to build predictive maintenance models, improve manufacturing throughput, and drive cost savings.",₹3L – ₹8L/yr (Glassdoor Est.),₹5L/yr Median
